country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3290,2640,2050,1970,2000,1990,2060,2130,2070,2080,2210,2310,2490,2610,2780,2970,3170,3210,3030,3230,3260,3590,3470,3510
Lebanon,,,,,,,,,,,,525,575,649,700,646,693,744,814,920,980,1060,1150,1250,1310,1320,1420,1570,1340,825,499,958,1100,1220,1290,1340,1800,2120,2560,2520,2510,2480,2540,2500,2410,2380,2300,2400,2560,2730,3050,2950,2490,2770,2590
Libya,,,,,,,,,,,,179,191,370,427,540,648,776,886,1050,1120,1090,1060,1030,1010,999,1050,1430,1530,1500,1580,1660,1750,1810,1820,1770,1790,1800,2100,2180,2220,2260,2770,2950,3110,3430,3790,3790,3160,3140,3360,2840,2240,2320,1810
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020,4020,3170,2490,2500,2540,2740,2730,2830,2700,2520,2700,2850,3090,3200,3190,3350,3560,3730,3620,3470,3530,3610,3660,3820
Luxembourg,4550,4630,5090,7020,8690,9110,9540,9500,9210,10300,10600,11900,11700,11800,13100,10600,11500,10400,10800,11000,10800,11100,11000,11100,11700,12100,12200,12300,13400,13500,13700,14100,12900,12600,13700,14900,14600,15100,15500,15000,15700,15600,16000,16300,16300,15600,16500,16400,15900,14400,16800,15600,14700,14200,13900
Malaysia,,,,,,,,,,,,313,347,375,400,430,467,531,561,618,659,689,729,768,816,843,884,924,997,1080,1160,1270,1420,1530,1790,2000,2190,2470,2530,2650,2750,2760,2820,2910,2980,2870,3070,3270,3290,3940,4150,4100,4340,4520,4650
Malta,,,,,,,,,,,,1010,1070,1210,1010,1110,1250,1360,1480,1600,1660,1750,1830,1860,1920,2110,2250,2490,2690,2850,2820,3600,3730,3720,3740,3920,3790,3830,3920,4200,4310,4290,4500,4870,4800,4910,4900,4870,4840,4430,4770,4870,5000,4920,4920
Mauritius,,,,,,,,,,,,147,161,180,202,212,249,280,280,310,299,296,294,301,301,314,347,388,436,482,671,729,780,820,857,945,1020,1110,1210,1230,1360,1450,1470,1560,1610,1680,1740,1820,1880,1910,2000,2030,2080,2150,2180
Mexico,,,,,,,,,,,,508,551,582,627,656,695,737,795,840,887,927,981,1000,1040,1080,1100,1140,1180,1230,1190,1300,1320,1310,1400,1420,1440,1530,1640,1690,1800,1830,1840,2000,1930,2000,2020,2050,2050,2000,2020,2220,2250,2140,2160
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4030,4280,3690,3220,2770,2610,2460,2320,2310,2170,2040,2250,2330,2620,2440,2550,2700,2490,2520,2170,2140,1830,1890,1680,1730
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1560,1560,1600,1600,1490,1340,1220,1100,1080,1090,1090,1060,1070,1040,1050,1070,1100,1140,1200,1250,1300,1330,1420,1380,1490,1500,1590,1890,2010
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6310,6450,6560,6290,5010,5420,5740,5420,4570,4610
Morocco,,,,,,,,,,,,125,139,152,158,163,179,192,206,223,237,249,262,280,283,295,307,311,341,336,359,372,402,402,421,431,434,451,480,453,490,525,536,582,612,634,688,717,734,746,776,826,877,881,904
Mozambique,,,,,,,,,,,,51.6,50.7,57.8,68.4,56.1,61.9,57.5,60.9,37,37.1,36.7,48.5,37.9,29.5,31.5,37.1,42.3,34.6,39.7,42.2,55.7,54.1,50.7,44.3,46.2,45.9,54.5,49.1,69.2,126,277,266,374,449,451,459,460,443,444,453,454,460,451,479
Myanmar,,,,,,,,,,,,19.8,21.2,22.8,22.5,25.3,27.4,29.7,31.1,32.9,34,30.4,32.2,32.7,35.3,42,42,42.3,37.5,40.2,44.1,40.9,44.2,50.7,54,57.2,57.6,64.5,64.9,68.1,75.3,68.4,73,79.9,80.5,74.9,88.3,89.5,94.2,99.4,124,154,156,185,215
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,1010,1080,955,953,1030,991,1090,1160,1050,1090,1130,1170,1450,1520,1610,1610,1640,1580,1590,1610,1660,1690,1650
Nepal,,,,,,,,,,,,6,7.55,5.76,7.16,6.63,8.97,9.84,10.5,11.6,12.4,14.1,17.4,18.6,20,22.2,25.7,28,30.2,32.7,35.2,37.2,37,38.5,41.3,43.8,46.2,46.5,49.2,55,58.8,64.5,67.5,70.5,74.4,77.1,83.8,87.6,83.5,96.9,103,116,121,137,146
Netherlands,1350,1420,1530,1650,1780,1910,2090,2240,2490,2710,2950,3150,3410,3610,3740,3770,4010,4080,4250,4400,4360,4290,4240,4300,4410,4520,4570,4720,4920,5050,5220,5330,5440,5490,5640,5720,5910,6070,6260,6350,6510,6600,6640,6700,6880,6910,7030,7160,7170,6860,7010,7060,6880,6830,6710
New Zealand,2460,2620,2750,3080,3250,3510,3680,3710,3880,4090,4270,4690,5310,5530,5460,5800,6090,6150,6150,6180,6340,6500,6870,7300,7510,7560,7880,7900,8130,8470,8970,8840,8640,8910,8930,9110,9070,9090,9130,9140,9380,9420,9530,9410,9670,9670,9700,9640,9560,9400,9600,9460,9360,9090,9030
Nicaragua,,,,,,,,,,,,225,244,222,261,270,305,336,324,249,258,266,276,292,294,287,282,295,291,321,306,299,302,292,279,291,311,350,342,329,345,344,352,367,393,412,425,458,472,477,507,528,569,587,568
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,30.8,30.4,29.8,33.5,36.7,34.9,39.1,39.2,42.6,44.2,47.4,49.3,48.3,51.2
Nigeria,,,,,,,,,,,,28.6,32.7,35.3,32.8,45.8,51.6,59.2,60.7,59.8,68.1,50.9,81.9,81.7,62.1,80.5,90.9,89.3,87.1,97.1,87.1,89.6,90.1,101,95.6,91.5,85.9,82,77,75.8,74.5,75.6,105,102,124,129,112,139,127,121,136,150,157,143,145
North Korea,,,,,,,,,,,,909,936,963,991,1020,1030,1050,1070,1080,1100,1110,1120,1130,1150,1200,1190,1210,1280,1320,1240,1160,1020,902,926,906,826,737,638,693,712,735,713,751,780,807,785,749,804,728,743,656,653,619,602
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2670,2710,2970,2610,2710,2800,2920,3000,3070,2860,2900,2800,2760,3110,3140,3370,3450,3620,3680,3420,3570,3880,3680,3550,3500
Norway,7680,8400,9390,9660,10600,11400,11700,12300,13500,13200,13500,14100,14500,15500,16300,16300,16900,16500,17300,18900,18700,19400,19400,20500,21900,22600,22200,22800,23000,22900,23400,23800,23800,24000,24200,24500,24000,24300,25400,25100,25000,25600,24600,23200,24200,25100,24100,24900,24900,23900,24900,23500,24100,23800,23000
Oman,,,,,,,,,,,,14.7,29.6,50.8,95,153,252,364,399,484,624,755,899,1040,1240,1470,1790,1840,1980,1990,2190,2150,2250,2450,2500,2580,2620,2780,3060,3080,3200,3440,3520,3550,3830,3920,4210,4390,4790,5250,5520,5850,6180,6210,6450
Pakistan,,,,,,,,,,,,93.5,91,101,107,111,108,110,122,140,136,148,159,171,184,199,214,228,256,265,277,297,333,334,344,355,355,358,338,348,362,367,372,395,413,445,466,460,422,437,442,433,428,458,448
Panama,,,,,,,,,,,,525,571,630,617,635,676,715,696,796,773,788,837,904,858,893,918,963,870,831,833,878,910,959,1010,1060,1080,1170,1180,1220,1270,1290,1320,1360,1420,1460,1480,1570,1630,1640,1750,1820,1960,2020,2060
Paraguay,,,,,,,,,,,,81.6,88.9,105,113,116,130,157,188,215,242,265,262,267,292,294,335,385,431,447,504,524,558,626,701,783,794,831,838,857,884,870,881,836,824,860,916,979,1030,1090,1170,1270,1360,1460,1550
Peru,,,,,,,,,,,,391,409,412,428,436,444,472,465,475,497,524,548,512,548,541,563,587,550,547,540,573,471,517,528,541,581,598,631,642,666,692,727,753,793,830,883,967,1040,1050,1110,1260,1240,1300,1350
Philippines,,,,,,,,,,,,236,260,322,309,315,329,328,329,346,374,338,338,363,342,350,312,320,343,361,361,354,335,335,377,399,429,462,478,467,499,519,522,555,575,576,568,582,585,589,638,643,664,683,696
Poland,905,988,1060,1090,1170,1250,1360,1480,1590,1700,1810,1960,2110,2260,2410,2590,2740,2870,2990,3010,3080,2880,2900,3040,3160,3260,3380,3520,3570,3540,3270,3090,2960,2980,2990,3060,3160,3210,3210,3170,3260,3260,3210,3320,3420,3440,3580,3660,3730,3590,3800,3880,3900,3940,3970
Portugal,320,350,379,410,460,487,543,572,615,681,764,835,912,995,1080,1080,1140,1250,1340,1470,1560,1570,1640,1740,1770,1870,1970,2060,2200,2400,2540,2680,2820,2800,2870,3080,3200,3350,3550,3800,3990,4120,4270,4380,4530,4680,4830,4890,4850,4840,4960,4850,4740,4690,4660
Qatar,,,,,,,,,,,,2640,3030,2950,2990,3800,4140,4980,6320,8710,9720,9940,10000,9520,9560,10100,10300,9830,9630,9520,9590,8990,9840,10400,10800,10700,11800,12100,13800,14000,14300,15100,15900,16400,16300,15500,15500,14800,14000,13700,14200,14200,14900,13900,14800
Romania,,,,,,,,,,,,1630,1790,1910,2020,2210,2420,2550,2660,2690,2880,2950,2930,2970,3080,3130,3320,3280,3390,3410,2920,2520,2320,2270,2230,2330,2430,2250,2110,1940,1990,2070,2080,2240,2300,2370,2450,2530,2610,2390,2550,2640,2600,2490,2580
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6690,6550,6110,5730,5190,5100,5020,4940,4850,5000,5200,5270,5300,5480,5630,5770,6100,6290,6400,6100,6410,6490,6620,6540,6600
Saudi Arabia,,,,,,,,,,,,324,358,415,502,534,727,838,1110,1610,1970,2250,2660,2730,3050,3070,3400,3660,3760,3860,4020,4120,4400,4750,4830,4930,4970,5130,5470,5610,5660,5950,6050,6500,6350,6620,6840,6940,7200,7480,7970,8020,8500,8780,9400
Senegal,,,,,,,,,,,,73.8,74.7,80.2,79.8,83.2,86.6,91.9,97.4,102,103,106,95.9,105,110,104,102,103,105,101,104,103,109,104,110,109,110,118,122,118,103,125,147,127,140,160,160,184,161,192,203,204,215,215,229
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4630,4410,4270,3480,3410,3790,4130,4290,4300,3980,4200,4430,4480,4330,4260,3920,4040,4160,4290,4220,4360,4490,4390,4440,4270
Singapore,,,,,,,,,,,,1150,1370,1600,1630,1730,1880,2070,2370,2530,2720,2780,2810,3050,3260,3440,3690,4090,4400,4640,4980,5100,5240,5500,5840,6070,6310,6830,6970,7190,7580,7520,7760,8110,8310,8680,8720,8710,8400,8110,8680,8650,8670,8680,8840
Slovak Republic,,,,,,,,,,,,2700,2830,3030,3140,3110,3260,3410,3470,3810,4360,4410,4440,4520,4620,4840,4940,5090,5150,5270,5540,5120,4700,4570,4580,4930,5150,5070,4680,5030,4960,5030,5050,5020,5100,4930,5150,5270,5290,4950,5200,5350,5140,5200,5140
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330,5090,4940,4950,5240,5310,5370,5430,5570,5680,5780,6010,6380,6580,6830,6920,7120,7140,6920,6100,6510,6750,6720,6780,6730
South Africa,,,,,,,,,,,,2240,2390,2500,2630,2750,2890,2960,3110,3330,3520,3680,3750,3790,4030,4120,4210,4180,4260,4270,4240,4130,4000,4020,4070,4160,4710,4820,4610,4470,4580,4300,4530,4560,4590,4640,4720,4850,4670,4430,4540,4570,4370,4290,4200
South Korea,,,,,,,,,,,,296,344,397,459,502,578,659,780,881,914,972,1030,1140,1250,1340,1480,1670,1920,2100,2370,2590,2830,3090,3500,3880,4280,4650,4440,4880,5910,6310,6670,6980,7390,7800,8040,8460,8770,8880,9720,10100,10300,10400,10500
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,43,43.6
Spain,495,550,613,664,745,823,926,1030,1150,1290,1420,1530,1700,1870,2020,2050,2260,2290,2400,2530,2640,2670,2660,2790,2900,2980,3000,3090,3220,3440,3540,3610,3690,3640,3760,3920,4010,4320,4480,4820,5170,5420,5580,5680,5890,6110,6110,6050,6030,5650,5710,5600,5570,5410,5360
Sri Lanka,,,,,,,,,,,,57.7,64.2,66.5,67,71,72.6,74.5,81.1,89.1,94.8,101,110,115,118,128,137,137,141,138,151,158,166,183,200,216,204,230,249,263,295,291,303,326,354,400,403,420,426,425,460,502,524,526,531
Sudan,,,,,,,,,,,,26.1,27.4,32.3,37.2,38.4,39,40,41.6,40.8,36.7,34,35,32.9,43.9,46.8,51.7,52.2,45.9,42.9,49.7,47.6,47.2,44.9,46,45.1,45.5,42.5,41.2,60.7,62.4,52.2,60.9,64.2,64.5,75.9,84.3,90.5,98.4,113,131,142,157,159,190
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2270,2360,2540,2480,2590,2760,2760,2770,3030,3030,2980,3320,3310,3630,3600
Sweden,4000,4360,4610,4730,5190,5520,5630,6020,6510,7020,7320,7670,8130,8750,8790,9050,9750,9830,10100,10700,10700,11100,11400,12600,13700,15000,14900,15700,15900,15700,15800,15900,15500,15500,15300,15500,15400,15400,15500,15500,15700,16000,15700,15400,15400,15400,15300,15300,14900,14100,14900,14000,14300,13900,13500
Switzerland,3080,3230,3280,3350,3450,3590,3650,3750,3850,4020,4310,4620,4780,5010,5030,4880,5080,5320,5520,5780,5990,6120,6190,6330,6600,6850,6990,7160,7200,7370,7450,7540,7430,7240,7160,7280,7390,7340,7480,7650,7850,7990,8030,8200,8210,8310,8360,8160,8310,8020,8170,7930,7890,7810,7520
Syria,,,,,,,,,,,,176,202,182,211,236,230,224,289,316,357,414,521,600,590,618,606,591,628,677,689,701,702,687,751,832,893,914,958,1010,1060,1140,1230,1290,1400,1500,1540,1540,1560,1520,1820,1670,1360,1070,974
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,3200,2990,2570,2520,2410,2330,2050,2090,2190,2160,2140,2140,2140,2160,2150,2140,2070,1950,1910,1890,1810,1760,1690,1500
Tanzania,,,,,,,,,,,,30.3,32.2,33.8,34,34.4,35.1,35.1,34.5,36.9,36.9,37.9,35.8,34,34.6,36.4,40.8,41.2,44.8,47.1,51.7,54.8,53.4,48.7,49.7,57.7,61.3,55.8,60.8,56.4,59.1,62.9,68.3,68.1,79.8,79.6,65.4,81.8,86.3,72.4,96.6,87.3,97.8,100,104
Thailand,,,,,,,,,,,,120,140,161,166,184,207,234,262,279,291,299,321,349,381,406,435,484,539,615,710,792,893,1010,1110,1250,1380,1410,1360,1360,1450,1500,1620,1710,1830,1910,2010,2080,2110,2100,2310,2280,2440,2510,2540
Togo,,,,,,,,,,,,64.1,61.4,55.6,71.7,74.3,69.8,106,120,76.4,62.8,67.2,74.1,67.1,76.4,77.5,76.7,80.9,81.1,86.2,90.9,84.9,94.3,70,78.1,101,104,106,106,113,95.2,99,96.2,103,107,109,108,102,105,124,124,135,144,144,155
Trinidad and Tobago,,,,,,,,,,,,1040,1150,1130,1160,1130,1260,1400,1480,1740,1880,2070,2410,2550,2600,2580,2780,2910,2620,2520,2680,2650,2850,2820,2890,3100,3250,3640,3770,3810,3990,4100,4080,4770,4700,5140,5310,5670,5710,5720,6190,6380,6610,6850,7090
Tunisia,,,,,,,,,,,,155,175,192,205,215,239,273,302,354,403,423,410,448,461,506,529,553,584,604,632,643,678,699,751,761,771,810,852,932,976,1040,1070,994,1030,1080,1110,1150,1190,1270,1360,1320,1410,1430,1450
Turkey,92.3,96.9,112,121,132,144,157,170,185,206,222,246,276,297,312,359,421,462,480,489,496,519,543,555,614,660,699,771,809,875,930,965,1040,1120,1150,1230,1330,1440,1520,1560,1650,1610,1670,1770,1890,2010,2180,2350,2420,2310,2490,2700,2770,2760,2850
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280,2200,2000,2060,1670,1560,1440,1170,1550,1410,1690,1780,1780,1750,1910,2050,2120,2250,2320,2350,2380,2410,2430,2540,2680
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4790,4640,4310,3950,3480,3350,3060,2960,2840,2790,2780,2790,2840,3000,3150,3250,3400,3530,3530,3230,3550,3660,3640,3600,3420
United Arab Emirates,,,,,,,,,,,,681,1310,1700,1880,2320,2830,3740,4190,4980,5750,6120,7120,7680,7910,8170,8240,8280,8480,8230,8500,8150,8280,9100,9410,9400,9510,9930,11200,12200,12300,12100,12500,12400,12000,12300,11700,11500,11300,10600,10600,10300,10400,10700,11100
United Kingdom,2410,2550,2780,3000,3130,3330,3430,3510,3760,4010,4170,4250,4370,4670,4530,4490,4590,4670,4730,4920,4680,4570,4480,4550,4600,4830,4950,5080,5230,5300,5360,5450,5450,5490,5380,5580,5820,5830,5910,6010,6110,6140,6140,6170,6140,6270,6200,6100,6020,5640,5700,5470,5450,5410,5130
United States,4050,4180,4430,4690,4970,5230,5590,5890,6390,6900,7240,7520,8080,8570,8450,8520,8970,9340,9560,9700,9860,9980,9540,9740,10300,10400,10400,10900,11300,11500,11700,12100,12000,12300,12500,12700,12900,12900,13200,13300,13700,13000,13300,13300,13400,13700,13600,13700,13700,12900,13400,13200,13000,13000,13000
Uruguay,,,,,,,,,,,,732,696,705,703,762,806,847,919,934,1000,1040,1040,1040,1040,1070,1110,1160,1250,1210,1240,1340,1370,1450,1490,1580,1640,1730,1810,1920,2030,2000,2000,1890,1930,2000,2220,2420,2590,2670,2820,2820,2950,3000,3090
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380,2320,2130,2020,1920,1840,1830,1820,1780,1750,1780,1770,1780,1760,1770,1720,1760,1660,1650,1640,1650,1630,1610,1640,1650
Venezuela,,,,,,,,,,,,1050,1110,1160,1220,1230,1290,1400,1540,1840,2020,2250,2080,2230,2360,2340,2340,2450,2610,2500,2480,2550,2690,2700,2670,2650,2670,2700,2670,2600,2670,2730,2760,2660,2800,2890,3000,3020,3130,3090,3200,3260,3300,3300,2720
Vietnam,,,,,,,,,,,,40.3,37.7,39.3,33.9,38.9,46.3,53.3,54,52.9,54,54.3,56.7,56.1,65,68,71,77.7,84.7,91.6,95.3,98.8,102,112,129,153,180,203,233,253,287,327,378,433,484,570,645,728,803,906,1020,1100,1210,1280,1420
Yemen,,,,,,,,,,,,33.2,33.6,31.7,36.2,37.9,43.2,44.2,48.6,51.4,63.3,66,76.7,78.1,84.2,86,97.8,101,110,108,126,133,134,137,122,128,123,137,134,132,143,147,155,166,173,184,194,211,230,227,255,194,194,251,220
Zambia,,,,,,,,,,,,1020,1070,1120,1190,1160,1170,1110,1070,1050,1040,1070,1060,1030,994,948,900,884,934,780,762,737,736,741,731,710,686,638,583,586,598,619,644,663,685,693,705,664,590,568,591,632,733,747,717
Zimbabwe,,,,,,,,,,,,650,824,844,877,948,1010,920,857,895,944,946,937,882,830,936,872,879,858,884,865,856,787,737,778,823,867,901,876,927,898,872,878,880,856,892,872,760,628,585,607,636,609,629,609
